IRR (%),NPV ($),Equity Multiple,DSCR
19.191344968171276,3843592.934455838,2.0711277988923684,5.177819497230921
14.536853695872187,1836364.6736061433,1.7804186045999706,4.451046511499927
19.28568057585325,3845716.1006313544,2.0660077788880193,5.165019447220049
17.18608175258889,2925765.9175875094,1.9303535764704547,4.825883941176136
19.055158791111772,3759777.95711465,2.052001446451871,5.130003616129678
21.916976650788534,5171132.906718129,2.2692850104829327,5.673212526207331
19.96245199585438,4115365.3992272597,2.0989446393229905,5.247361598307476
18.301491641930955,3249480.5795939993,1.9498545990575284,4.874636497643821
15.0100505164803,1996393.2829736425,1.7924855242884472,4.481213810721118
17.54229762595585,2988143.86372922,1.9214334114379719,4.80358352859493
15.02166584356388,2009054.5042322716,1.7969794148820226,4.492448537205056
19.349789424789666,3795106.978191618,2.0449844049070047,5.112461012267511
19.406340456001537,3810266.9771396946,2.043069058721601,5.107672646804002
16.630979022884507,2655039.6800352624,1.8825340205969834,4.7063350514924585
17.29174929739297,2775579.997704234,1.8685373637292653,4.671343409323163
18.960753994852997,3504565.6130610043,1.9818722830356819,4.954680707589205
17.06061836519317,2719655.5966953607,1.8678899790102144,4.669724947525536
16.305594565202796,2579702.3788457382,1.8874732515979282,4.718683128994821
17.642900561627695,2929564.831431915,1.893493020344805,4.733732550862013
16.915483004757228,2777418.92760845,1.9009949635626346,4.752487408906586
15.178505577181722,2019434.2438016115,1.7835395203774627,4.458848800943657
18.792441271036854,3620904.0906749163,2.0312376890770403,5.0780942226926005
18.213179590028194,3326506.932485301,1.9805822664927062,4.951455666231766
15.247756057514472,2096803.4853163231,1.806617723615346,4.516544309038365
19.564068440667693,3974124.804130396,2.0818309943343376,5.204577485835844
19.409586556125745,3669272.2278510537,2.003072139513801,5.007680348784502
17.433484782789765,2964985.892696686,1.9236168024922249,4.8090420062305625
16.246481434705395,2322264.019393632,1.7975637433713842,4.493909358428461
18.271193383485684,3448957.4132718993,2.0140550040621648,5.035137510155411
12.670849887876233,1023907.2919670623,1.6409638210758613,4.102409552689654
16.138633351570974,2416812.111024905,1.8416884131547075,4.604221032886769
