,IRR (%),NPV ($),Equity Multiple,DSCR
count,10000.0,10000.0,10000.0,10000.0
mean,17.787165071805312,3141464.23901129,1.950678383824971,4.876695959562427
std,1.8717485795883035,806849.1543354614,0.12037667553586713,0.3009416888396678
min,10.12587241110785,46991.11243648827,1.4973372856390068,3.7433432140975174
5%,14.66755584574581,1819348.520780899,1.7546581489015671,4.386645372253917
50%,17.803517345934075,3129075.3613785044,1.9485391654748314,4.871347913687078
95%,20.796359901906886,4464482.60466574,2.150525072192972,5.376312680482432
max,24.55767907576927,6180773.912216636,2.41188698642866,6.029717466071651
